Date	Precipitation[mm]	Temperature[degC]	Temperature_Daylight[degC]	PAR[µmolm-2s-1]	Daylength[h]	PET[mm]
2022-06-01	1.188200	13.913511	15.218641	576.978043	16.286614	nan
2022-06-02	0.027306	14.163274	15.487168	675.986579	16.317052	nan
2022-06-03	1.155483	17.508576	19.317087	663.773172	16.346114	nan
2022-06-04	1.548667	18.513728	19.608602	555.379398	16.373771	nan
2022-06-05	6.680315	18.992371	20.256219	496.785916	16.399997	nan
2022-06-06	1.146297	19.144330	20.163120	578.501064	16.424766	nan
2022-06-07	0.033217	18.472542	19.519317	519.034661	16.448052	nan
2022-06-08	1.990537	18.731096	19.830112	518.104506	16.469831	nan
2022-06-09	1.953185	17.792396	18.633314	513.303852	16.490081	nan
2022-06-10	0.267352	18.767408	19.760913	578.464027	16.508781	nan
2022-06-11	0.052883	20.575888	21.773072	483.076084	16.525910	nan
2022-06-12	0.036118	20.942679	22.259264	632.083549	16.541450	nan
2022-06-13	0.996080	16.775079	17.308924	581.635141	16.555385	nan
2022-06-14	0.082727	16.207420	17.333757	561.649427	16.567699	nan
2022-06-15	0.000435	19.896169	21.762038	748.668688	16.578379	nan
2022-06-16	0.013574	19.673858	20.989235	703.732271	16.587414	nan
2022-06-17	0.051874	20.456733	21.706426	682.984095	16.594792	nan
2022-06-18	0.001726	26.211102	28.530475	739.993908	16.600508	nan
2022-06-19	0.585799	26.305768	28.608360	644.165045	16.604554	nan
2022-06-20	21.064347	16.482246	16.642082	293.629202	16.606926	nan
2022-06-21	0.000000	16.864181	18.030465	732.187579	16.607623	nan
2022-06-22	0.000426	20.016919	21.712349	719.386892	16.606644	nan
2022-06-23	0.000858	22.577774	24.279317	761.017920	16.603991	nan
2022-06-24	4.155454	23.158445	24.386790	568.097602	16.599668	nan
2022-06-25	0.459235	22.267233	23.201093	496.604464	16.593680	nan
2022-06-26	0.001168	24.787204	26.032556	573.224664	16.586036	nan
2022-06-27	1.311008	24.276946	25.550549	589.081295	16.576744	nan
2022-06-28	0.292766	20.873802	21.451557	687.933493	16.565815	nan
2022-06-29	4.456654	20.655268	21.278562	398.338302	16.553264	nan
2022-06-30	0.067364	23.120039	24.293548	577.802411	16.539104	nan
2022-07-01	3.852324	18.585634	18.559905	306.373302	16.523353	nan
2022-07-02	0.000000	20.118138	21.617625	747.283363	16.506028	nan
2022-07-03	0.000435	23.241829	24.835642	656.233225	16.487150	nan
2022-07-04	0.008243	20.895283	21.880481	608.929403	16.466738	nan
2022-07-05	0.097370	19.988777	21.164758	533.114159	16.444816	nan
2022-07-06	0.495798	17.806757	18.443595	472.469767	16.421407	nan
2022-07-07	12.045825	15.074927	15.475844	191.909515	16.396537	nan
2022-07-08	0.083359	16.999838	17.734905	441.699055	16.370230	nan
