Valid time	Local time	Precipitation[mm] (acc.)	Temperature[degC]	SSRD[Jm-2] (acc.)
2022-05-31T23:00+00:00	2022-06-01T00:00+01:00	1.958899	11.397302	23554441.000000
2022-06-01T00:00+00:00	2022-06-01T01:00+01:00	1.958899	10.284296	23554442.000000
2022-06-01T01:00+00:00	2022-06-01T02:00+01:00	0.000000	9.760217	0.000000
2022-06-01T02:00+00:00	2022-06-01T03:00+01:00	0.000000	9.465845	0.000000
2022-06-01T03:00+00:00	2022-06-01T04:00+01:00	0.000000	9.279688	0.000000
2022-06-01T04:00+00:00	2022-06-01T05:00+01:00	0.000000	9.627710	76744.250000
2022-06-01T05:00+00:00	2022-06-01T06:00+01:00	0.000000	10.814539	472958.750000
2022-06-01T06:00+00:00	2022-06-01T07:00+01:00	0.000000	12.855951	1424981.500000
2022-06-01T07:00+00:00	2022-06-01T08:00+01:00	0.174010	12.247400	2457766.000000
2022-06-01T08:00+00:00	2022-06-01T09:00+01:00	0.280624	13.798364	4106060.000000
2022-06-01T09:00+00:00	2022-06-01T10:00+01:00	0.360932	15.003290	6004218.000000
2022-06-01T10:00+00:00	2022-06-01T11:00+01:00	0.441734	16.022089	8237761.000000
2022-06-01T11:00+00:00	2022-06-01T12:00+01:00	0.485796	17.344141	10915937.500000
2022-06-01T12:00+00:00	2022-06-01T13:00+01:00	0.499187	17.909509	13311582.000000
2022-06-01T13:00+00:00	2022-06-01T14:00+01:00	0.502823	17.833276	15140865.500000
2022-06-01T14:00+00:00	2022-06-01T15:00+01:00	0.520866	18.305261	17142885.500000
2022-06-01T15:00+00:00	2022-06-01T16:00+01:00	0.543768	18.068781	18673755.000000
2022-06-01T16:00+00:00	2022-06-01T17:00+01:00	0.575813	17.827661	19991373.500000
2022-06-01T17:00+00:00	2022-06-01T18:00+01:00	0.586109	17.270166	21004942.000000
2022-06-01T18:00+00:00	2022-06-01T19:00+01:00	0.586109	16.385339	21439479.000000
2022-06-01T19:00+00:00	2022-06-01T20:00+01:00	0.880599	13.993738	21598686.000000
2022-06-01T20:00+00:00	2022-06-01T21:00+01:00	0.956172	13.069757	21601897.500000
2022-06-01T21:00+00:00	2022-06-01T22:00+01:00	1.076736	12.244440	21601897.500000
2022-06-01T22:00+00:00	2022-06-01T23:00+01:00	1.142990	12.103082	21601897.000000
2022-06-01T23:00+00:00	2022-06-02T00:00+01:00	1.144052	11.403162	21601897.000000
2022-06-02T00:00+00:00	2022-06-02T01:00+01:00	1.144480	10.405695	21601897.000000
2022-06-02T01:00+00:00	2022-06-02T02:00+01:00	0.000000	9.633081	0.000000
2022-06-02T02:00+00:00	2022-06-02T03:00+01:00	0.000000	9.023981	0.000000
2022-06-02T03:00+00:00	2022-06-02T04:00+01:00	0.000000	8.461023	0.000000
2022-06-02T04:00+00:00	2022-06-02T05:00+01:00	0.000000	8.327753	87400.000000
2022-06-02T05:00+00:00	2022-06-02T06:00+01:00	0.000000	9.408960	543719.500000
2022-06-02T06:00+00:00	2022-06-02T07:00+01:00	0.000000	10.981866	1519273.000000
2022-06-02T07:00+00:00	2022-06-02T08:00+01:00	0.013866	12.423669	3036498.000000
2022-06-02T08:00+00:00	2022-06-02T09:00+01:00	0.014608	13.810449	4928850.000000
2022-06-02T09:00+00:00	2022-06-02T10:00+01:00	0.016410	14.985498	7146688.500000
2022-06-02T10:00+00:00	2022-06-02T11:00+01:00	0.016883	16.201593	9770538.500000
2022-06-02T11:00+00:00	2022-06-02T12:00+01:00	0.016881	17.028986	12231935.000000
2022-06-02T12:00+00:00	2022-06-02T13:00+01:00	0.016881	18.279565	15113374.000000
2022-06-02T13:00+00:00	2022-06-02T14:00+01:00	0.016881	19.157709	17868447.000000
2022-06-02T14:00+00:00	2022-06-02T15:00+01:00	0.016881	19.259119	20024499.000000
2022-06-02T15:00+00:00	2022-06-02T16:00+01:00	0.016881	19.564050	22218511.000000
2022-06-02T16:00+00:00	2022-06-02T17:00+01:00	0.016881	19.433130	23950953.000000
2022-06-02T17:00+00:00	2022-06-02T18:00+01:00	0.016881	18.994104	24969921.000000
2022-06-02T18:00+00:00	2022-06-02T19:00+01:00	0.016881	17.716150	25514579.000000
2022-06-02T19:00+00:00	2022-06-02T20:00+01:00	0.016881	15.530054	25701814.000000
2022-06-02T20:00+00:00	2022-06-02T21:00+01:00	0.016881	14.276514	25706285.000000
2022-06-02T21:00+00:00	2022-06-02T22:00+01:00	0.016881	13.319849	25706285.000000
2022-06-02T22:00+00:00	2022-06-02T23:00+01:00	0.016881	12.321375	25706285.000000
2022-06-02T23:00+00:00	2022-06-03T00:00+01:00	0.016881	11.289117	25706285.000000
2022-06-03T00:00+00:00	2022-06-03T01:00+01:00	0.016881	10.345941	25706285.000000
2022-06-03T01:00+00:00	2022-06-03T02:00+01:00	0.000000	9.581873	0.000000
2022-06-03T02:00+00:00	2022-06-03T03:00+01:00	0.000000	9.046747	0.000000
2022-06-03T03:00+00:00	2022-06-03T04:00+01:00	0.000000	8.629358	0.000000
2022-06-03T04:00+00:00	2022-06-03T05:00+01:00	0.000000	8.687646	88022.000000
2022-06-03T05:00+00:00	2022-06-03T06:00+01:00	0.000000	10.751611	522148.500000
2022-06-03T06:00+00:00	2022-06-03T07:00+01:00	0.000000	13.627527	1453389.500000
2022-06-03T07:00+00:00	2022-06-03T08:00+01:00	0.000000	15.849329	2686434.000000
2022-06-03T08:00+00:00	2022-06-03T09:00+01:00	0.000000	17.417230	4210644.500000
2022-06-03T09:00+00:00	2022-06-03T10:00+01:00	0.000000	19.376245	6533469.000000
2022-06-03T10:00+00:00	2022-06-03T11:00+01:00	0.000000	20.814294	9120143.500000
2022-06-03T11:00+00:00	2022-06-03T12:00+01:00	0.000000	22.024652	11907285.500000
2022-06-03T12:00+00:00	2022-06-03T13:00+01:00	0.000000	23.098718	14903794.000000
2022-06-03T13:00+00:00	2022-06-03T14:00+01:00	0.000000	23.873193	17822541.500000
2022-06-03T14:00+00:00	2022-06-03T15:00+01:00	0.000000	24.288904	20415002.000000
2022-06-03T15:00+00:00	2022-06-03T16:00+01:00	0.000858	24.374536	22418161.000000
2022-06-03T16:00+00:00	2022-06-03T17:00+01:00	0.000858	24.098840	23731914.000000
2022-06-03T17:00+00:00	2022-06-03T18:00+01:00	0.000858	23.431909	24501976.000000
2022-06-03T18:00+00:00	2022-06-03T19:00+01:00	0.000858	22.155054	24850998.000000
2022-06-03T19:00+00:00	2022-06-03T20:00+01:00	0.166798	20.216028	24972218.000000
2022-06-03T20:00+00:00	2022-06-03T21:00+01:00	0.293096	19.059412	24973469.000000
2022-06-03T21:00+00:00	2022-06-03T22:00+01:00	0.464046	18.016199	24973469.000000
2022-06-03T22:00+00:00	2022-06-03T23:00+01:00	0.789145	17.042139	24973469.000000
2022-06-03T23:00+00:00	2022-06-04T00:00+01:00	1.279680	16.115045	24973469.000000
2022-06-04T00:00+00:00	2022-06-04T01:00+01:00	1.617657	15.530847	24973469.000000
2022-06-04T01:00+00:00	2022-06-04T02:00+01:00	0.308060	14.990533	0.000000
2022-06-04T02:00+00:00	2022-06-04T03:00+01:00	0.544693	14.503931	0.000000
